1,1,0.00,218.00,20.00,16.00,1,3,1.00
2,1,1.00,219.00,20.00,16.00,1,3,1.00
3,1,1.00,219.00,31.00,18.00,1,3,1.00
4,1,0.00,217.00,40.00,22.00,1,3,1.00
5,1,0.00,219.00,40.00,19.00,1,3,1.00
6,1,2.00,219.00,42.00,23.00,1,3,1.00
7,1,0.00,217.00,37.00,24.00,1,3,1.00
8,1,0.00,213.00,30.00,29.00,1,3,1.00
9,1,0.00,217.00,19.00,24.00,1,3,1.00
1,2,26.00,214.00,70.00,20.00,1,3,1.00
2,2,30.00,216.00,70.00,20.00,1,3,1.00
3,2,39.00,216.00,70.00,20.00,1,3,1.00
4,2,48.00,216.00,70.00,20.00,1,3,1.00
5,2,51.00,219.00,67.00,20.00,1,3,1.00
6,2,53.00,221.00,65.00,18.00,1,3,1.00
7,2,47.00,216.00,66.00,22.00,1,3,0.47
8,2,44.00,216.00,63.00,24.00,1,3,1.00
9,2,26.00,219.00,70.00,22.00,1,3,1.00
10,2,9.00,215.00,79.00,28.00,1,3,1.00
11,2,0.00,214.00,77.00,28.00,1,3,1.00
12,2,0.00,214.00,60.00,28.00,1,3,1.00
13,2,0.00,214.00,37.00,28.00,1,3,1.00
14,2,3.00,212.00,50.00,21.00,1,3,0.32
15,2,0.00,214.00,43.00,21.00,1,3,0.05
16,2,0.00,215.00,24.00,20.00,1,3,0.00
1,3,112.00,214.00,66.00,19.00,1,3,1.00
2,3,110.00,216.00,66.00,19.00,1,3,1.00
3,3,119.00,216.00,66.00,19.00,1,3,1.00
4,3,126.00,216.00,63.00,18.00,1,3,1.00
5,3,132.00,217.00,60.00,17.00,1,3,1.00
6,3,132.00,216.00,62.00,22.00,1,3,1.00
7,3,131.00,217.00,68.00,23.00,1,3,1.00
8,3,130.00,214.00,64.00,26.00,1,3,1.00
9,3,108.00,216.00,81.00,22.00,1,3,1.00
10,3,100.00,216.00,79.00,23.00,1,3,1.00
11,3,86.00,215.00,81.00,24.00,1,3,1.00
12,3,68.00,213.00,86.00,27.00,1,3,1.00
13,3,48.00,215.00,98.00,26.00,1,3,1.00
14,3,19.00,212.00,108.00,34.00,1,3,1.00
15,3,2.00,205.00,107.00,40.00,1,3,1.00
16,3,0.00,206.00,93.00,42.00,1,3,1.00
17,3,0.00,205.00,66.00,43.00,1,3,1.00
18,3,0.00,206.00,40.00,43.00,1,3,1.00
1,4,45.00,211.00,65.00,20.00,1,3,0.33
2,4,49.00,214.00,65.00,20.00,1,3,0.24
3,4,57.00,215.00,65.00,20.00,1,3,0.20
4,4,63.00,215.00,65.00,20.00,1,3,0.17
5,4,72.00,215.00,60.00,21.00,1,3,0.38
6,4,76.00,216.00,58.00,22.00,1,3,0.41
7,4,76.00,217.00,58.00,22.00,1,3,0.34
8,4,75.00,216.00,53.00,20.00,1,3,0.40
9,4,55.00,214.00,63.00,20.00,1,3,0.37
10,4,47.00,213.00,53.00,23.00,1,3,0.29
11,4,34.00,213.00,66.00,24.00,1,3,0.18
12,4,25.00,213.00,56.00,23.00,1,3,0.17
13,4,2.00,215.00,59.00,24.00,1,3,0.19
1,5,259.00,216.00,19.00,12.00,1,3,1.00
2,5,260.00,216.00,19.00,12.00,1,3,1.00
3,5,266.00,216.00,19.00,12.00,1,3,1.00
4,5,271.00,216.00,19.00,12.00,1,3,1.00
5,5,275.00,217.00,19.00,12.00,1,3,1.00
6,5,275.00,218.00,20.00,13.00,1,3,1.00
7,5,276.00,216.00,20.00,13.00,1,3,1.00
8,5,275.00,217.00,19.00,12.00,1,3,1.00
9,5,272.00,219.00,18.00,11.00,1,3,1.00
10,5,269.00,220.00,18.00,11.00,1,3,1.00
11,5,266.00,219.00,18.00,11.00,1,3,1.00
12,5,261.00,220.00,17.00,11.00,1,3,1.00
13,5,256.00,219.00,16.00,11.00,1,3,1.00
14,5,251.00,219.00,16.00,10.00,1,3,1.00
15,5,247.00,220.00,16.00,10.00,1,3,1.00
16,5,245.00,221.00,16.00,10.00,1,3,1.00
17,5,241.00,220.00,17.00,11.00,1,3,1.00
18,5,239.00,221.00,16.00,10.00,1,3,1.00
19,5,235.00,217.00,13.00,10.00,1,3,1.00
20,5,234.00,217.00,13.00,10.00,1,3,1.00
21,5,232.00,218.00,13.00,10.00,1,3,1.00
22,5,225.00,219.00,13.00,10.00,1,3,1.00
23,5,220.00,217.00,13.00,10.00,1,3,1.00
24,5,214.00,217.00,18.00,12.00,1,3,1.00
25,5,212.00,216.00,18.00,12.00,1,3,1.00
26,5,208.00,217.00,15.00,10.00,1,3,1.00
27,5,207.00,218.00,15.00,10.00,1,3,1.00
28,5,204.00,220.00,15.00,10.00,1,3,1.00
29,5,202.00,219.00,15.00,10.00,1,3,1.00
30,5,199.00,219.00,14.00,10.00,1,3,1.00
31,5,198.00,220.00,14.00,10.00,1,3,1.00
32,5,194.00,219.00,15.00,10.00,1,3,1.00
33,5,191.00,220.00,15.00,10.00,1,3,1.00
34,5,187.00,219.00,15.00,10.00,1,3,1.00
35,5,185.00,220.00,15.00,10.00,1,3,1.00
36,5,179.00,220.00,15.00,10.00,1,3,1.00
37,5,176.00,221.00,14.00,10.00,1,3,1.00
38,5,171.00,220.00,14.00,10.00,1,3,1.00
39,5,167.00,221.00,15.00,10.00,1,3,1.00
40,5,163.00,220.00,15.00,10.00,1,3,1.00
41,5,156.00,221.00,15.00,10.00,1,3,1.00
42,5,150.00,222.00,15.00,10.00,1,3,1.00
43,5,145.00,222.00,15.00,10.00,1,3,1.00
44,5,139.00,223.00,14.00,10.00,1,3,1.00
45,5,132.00,221.00,14.00,10.00,1,3,1.00
46,5,128.00,222.00,14.00,9.00,1,3,1.00
